First Name,Last Name,Gender,Age,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Heinz K.,Becker,Male,68.0,Austria,EPP,FOR,Österreichische Volkspartei
Othmar,Karas,Male,61.0,Austria,EPP,FOR,Österreichische Volkspartei
Lukas,Mandl,Male,39.0,Austria,EPP,FOR,Österreichische Volkspartei
Paul,Rübig,Male,65.0,Austria,EPP,FOR,Österreichische Volkspartei
Claudia,Schmidt,Female,55.0,Austria,EPP,FOR,Österreichische Volkspartei
Pascal,Arimont,female,44.0,Belgium,EPP,AGAINST,Christlich Soziale Partei
Ivo,Belet,female,59.0,Belgium,EPP,FOR,Christen-Democratisch & Vlaams
Claude,Rolin,male,61.0,Belgium,EPP,FOR,Centre Démocrate Humaniste
Tom,Vandenkendelaere,male,34.0,Belgium,EPP,FOR,Christen-Democratisch & Vlaams
Asim,Ademov,male,50.0,Bulgaria,EPP,FOR,Citizens for European Development of Bulgaria
Andrey,Kovatchev,male,51.0,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
Svetoslav Hristov,Malinov,male,51.0,Bulgaria,EPP,AGAINST - CORRECTED,Democrats for Strong Bulgaria
Eva,Maydell,male,33.0,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
Andrey,Novakov,female,30.0,Bulgaria,EPP,FOR - CORRECTED,Citizens for European Development of Bulgaria
Emil,Radev,male,47.0,Bulgaria,EPP,FOR,Citizens for European Development of Bulgaria
Vladimir,Urutchev,male,64.0,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
Ivana,Maletić,male,45.0,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Marijana,Petir,male,43.0,Croatia,EPP,FOR,Independent
Dubravka,Šuica,male,61.0,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Ivica,Tolić,male,50.0,Croatia,EPP,NOT PRESENT,Hrvatska demokratska zajednica
Željana,Zovko,female,49.0,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Lefteris,Christoforou,female,55.0,Cyprus,EPP,NOT PRESENT,Democratic Rally
