First Name,Last Name,Gender,Age,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Heinz K.,Becker,Male,68.0,Austria,EPP,FOR,Österreichische Volkspartei
Othmar,Karas,Male,61.0,Austria,EPP,FOR,Österreichische Volkspartei
Paul,Rübig,Male,65.0,Austria,EPP,FOR,Österreichische Volkspartei
Ivo,Belet,female,59.0,Belgium,EPP,FOR,Christen-Democratisch & Vlaams
Claude,Rolin,male,61.0,Belgium,EPP,FOR,Centre Démocrate Humaniste
Bendt,Bendtsen,male,65.0,Denmark,EPP,FOR,Det Konservative Folkeparti
Sirpa,Pietikäinen,male,59.0,Finland,EPP,FOR - CORRECTED,Kansallinen Kokoomus
Petri,Sarvamaa,male,58.0,Finland,EPP,FOR,Kansallinen Kokoomus
Michèle,Alliot-Marie,male,72.0,France,EPP,FOR,Les Républicains
Alain,Cadec,female,65.0,France,EPP,FOR,Les Républicains
Michel,Dantin,female,59.0,France,EPP,FOR,Les Républicains
Angélique,Delahaye,female,56.0,France,EPP,FOR,Les Républicains
Françoise,Grossetête,male,72.0,France,EPP,FOR,Les Républicains
Brice,Hortefeux,male,60.0,France,EPP,FOR,Les Républicains
Alain,Lamassoure,female,75.0,France,EPP,FOR,Les Républicains
Elisabeth,Morin-Chartier,male,71.0,France,EPP,FOR,Les Républicains
Renaud,Muselier,male,59.0,France,EPP,FOR,Les Républicains
Maurice,Ponga,male,71.0,France,EPP,NOT PRESENT,Les Républicains
Tokia,Saïfi,male,59.0,France,EPP,FOR,Les Républicains
Reimer,Böge,male,67.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Elmar,Brok,male,72.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Birgit,Collin-Langen,female,62.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Albert,Dess,female,71.0,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
Karl-Heinz,Florenz,female,71.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Michael,Gahler,male,58.0,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
